# 课文对话行的拼音 + 英文翻译（手工源，convert_texts.py 回灌到 lines[]）
# 格式: 汉字<TAB>拼音<TAB>英文  —— 按去重后的对话行（说话人已去掉）
# 拼音为 tone-marked，不/一 采用变调写法；数字读作汉字处已转拼音，电话号码保留原样。
# 目前覆盖 newhsk3 第 1 单元（试水）。
AI小语，你好！	AI Xiǎoyǔ, nǐ hǎo!	AI Xiaoyu, hello!
这辆自行车是小雪八岁的时候买的，看起来有点儿旧了。	Zhè liàng zìxíngchē shì Xiǎoxuě bā suì de shíhou mǎi de, kàn qǐlai yǒudiǎnr jiù le.	We bought this bike when Xiaoxue was eight; it looks a bit old now.
是啊，她现在长高了，这辆车已经太矮了。	Shì a, tā xiànzài zhǎng gāo le, zhè liàng chē yǐjīng tài ǎi le.	Yeah, she's grown taller now, and this bike is already too small.
商场里开了一家自行车店，咱们给她买辆新的吧。	Shāngchǎng li kāi le yì jiā zìxíngchē diàn, zánmen gěi tā mǎi liàng xīn de ba.	A bike shop opened in the mall—let's buy her a new one.
好，咱们带小雪一起去，让她试一下。	Hǎo, zánmen dài Xiǎoxuě yìqǐ qù, ràng tā shì yíxià.	Okay, let's take Xiaoxue along so she can try it out.
那今天就去吧！我也想再看看衣服。咱们怎么去？	Nà jīntiān jiù qù ba! Wǒ yě xiǎng zài kànkan yīfu. Zánmen zěnme qù?	Then let's go today! I also want to look at clothes again. How do we get there?
商场不远，咱们可以走着去。	Shāngchǎng bù yuǎn, zánmen kěyǐ zǒuzhe qù.	The mall's not far—we can walk there.
你看我穿这条黄色的短裤好看吗？	Nǐ kàn wǒ chuān zhè tiáo huángsè de duǎnkù hǎokàn ma?	Do these yellow shorts look good on me?
大小合适，但我觉得那条裙子比短裤更好看。	Dàxiǎo héshì, dàn wǒ juéde nà tiáo qúnzi bǐ duǎnkù gèng hǎokàn.	They fit, but I think that skirt looks better than the shorts.
裙子比短裤贵一点儿。	Qúnzi bǐ duǎnkù guì yìdiǎnr.	The skirt is a bit more expensive than the shorts.
贵多少？	Guì duōshao?	How much more?
裙子480，短裤400。	Qúnzi sìbǎi bāshí, duǎnkù sìbǎi.	The skirt is 480, the shorts 400.
裙子不比短裤贵多少，还是买裙子吧，你穿裙子更好看。	Qúnzi bù bǐ duǎnkù guì duōshao, háishi mǎi qúnzi ba, nǐ chuān qúnzi gèng hǎokàn.	The skirt isn't much more expensive than the shorts—get the skirt; you look better in a skirt.
我多看看再决定。你看，那边有买二送一！	Wǒ duō kànkan zài juédìng. Nǐ kàn, nàbiān yǒu mǎi èr sòng yī!	I'll look more before deciding. Look—over there it's buy two get one free!
西瓜又大又新鲜，不甜不要钱！	Xīguā yòu dà yòu xīnxiān, bù tián bú yào qián!	The watermelons are big and fresh—if they're not sweet, they're free!
西瓜看起来不错，怎么卖？	Xīguā kàn qǐlai búcuò, zěnme mài?	The watermelon looks good—how much?
五块钱一公斤。来，您先尝尝这块冰西瓜，甜极了！	Wǔ kuài qián yì gōngjīn. Lái, nín xiān chángchang zhè kuài bīng xīguā, tián jí le!	Five yuan a kilo. Here, try this chilled slice first—it's super sweet!
是挺甜的！帮我选个大点儿的，再来两斤香蕉。	Shì tǐng tián de! Bāng wǒ xuǎn ge dà diǎnr de, zài lái liǎng jīn xiāngjiāo.	It really is sweet! Pick me a bigger one, and add two jin of bananas.
一共五十八块五毛。	Yígòng wǔshíbā kuài wǔ máo.	That's 58.5 yuan in total.
我买了这么多，便宜点儿吧。	Wǒ mǎi le zhème duō, piányi diǎnr ba.	I bought so much—give me a little discount.
您给我五十五吧，不能再便宜了。	Nín gěi wǒ wǔshíwǔ ba, bù néng zài piányi le.	Make it 55—I can't go any lower.
这几天我们在新家坐着看电视的时候，又发现了新问题。房子大了，电视看起来就有点儿小。这个电视是我们结婚时买的，是时候换个新电视了。今天我一直在网上选电视，没想到，现在的电视不仅便宜，而且用着非常方便，有的电视叫它一声就能开机。我看了好几个，都很满意，晚上让一雪来决定吧。	Zhè jǐ tiān wǒmen zài xīn jiā zuòzhe kàn diànshì de shíhou, yòu fāxiàn le xīn wèntí. Fángzi dà le, diànshì kàn qǐlai jiù yǒudiǎnr xiǎo. Zhège diànshì shì wǒmen jiéhūn shí mǎi de, shì shíhou huàn ge xīn diànshì le. Jīntiān wǒ yìzhí zài wǎng shàng xuǎn diànshì, méi xiǎngdào, xiànzài de diànshì bùjǐn piányi, érqiě yòngzhe fēicháng fāngbiàn, yǒude diànshì jiào tā yì shēng jiù néng kāijī. Wǒ kàn le hǎojǐ ge, dōu hěn mǎnyì, wǎnshang ràng Yīxuě lái juédìng ba.	These past few days, sitting and watching TV in the new place, we noticed a new problem. Now that the house is bigger, the TV looks a bit small. This TV was bought when we got married—it's time for a new one. Today I've been picking TVs online, and to my surprise, TVs now are not only cheap but also very easy to use—some turn on just by calling out to them. I looked at several I liked; I'll let Yixue decide tonight.
天中，最近常看见你来体育馆。	Tiānzhōng, zuìjìn cháng kànjiàn nǐ lái tǐyùguǎn.	Tianzhong, I've been seeing you at the gym a lot lately.
我每天下午都来跑一个小时步。	Wǒ měi tiān xiàwǔ dōu lái pǎo yí ge xiǎoshí bù.	I come to run for an hour every afternoon.
你的运动习惯真不错。	Nǐ de yùndòng xíguàn zhēn búcuò.	You've got a really good exercise habit.
因为我今年胖了十多斤，不能再胖下去了，有点儿不健康。	Yīnwèi wǒ jīnnián pàng le shí duō jīn, bù néng zài pàng xiàqu le, yǒudiǎnr bú jiànkāng.	Because I've put on over ten jin this year—I can't keep gaining; it's getting unhealthy.
我下课以后常去打羽毛球，你也来玩吧。	Wǒ xiàkè yǐhòu cháng qù dǎ yǔmáoqiú, nǐ yě lái wán ba.	After class I often play badminton—come join us.
我知道，但是你们的水平太高了，我打得不怎么好。	Wǒ zhīdào, dànshì nǐmen de shuǐpíng tài gāo le, wǒ dǎ de bù zěnmeyàng.	I know, but you're all too good—I don't play very well.
没关系，我可以教你。	Méi guānxi, wǒ kěyǐ jiāo nǐ.	It's fine, I can teach you.
你怎么了？看上去有点儿不舒服。	Nǐ zěnme le? Kàn shàngqu yǒudiǎnr bù shūfu.	What's wrong? You look a bit unwell.
昨天游完泳以后，耳朵一直有点儿疼。	Zuótiān yóu wán yǒng yǐhòu, ěrduo yìzhí yǒudiǎnr téng.	After swimming yesterday, my ear has been a bit sore.
是不是感冒了？发烧吗？	Shì bu shì gǎnmào le? Fāshāo ma?	Did you catch a cold? Do you have a fever?
好像发低烧了。	Hǎoxiàng fā dīshāo le.	I seem to have a mild fever.
我送你去医院，让医生检查一下吧。	Wǒ sòng nǐ qù yīyuàn, ràng yīshēng jiǎnchá yíxià ba.	I'll take you to the hospital and have a doctor check you.
我先回去睡一觉，可能休息休息就好了。	Wǒ xiān huíqu shuì yí jiào, kěnéng xiūxi xiūxi jiù hǎo le.	I'll go back and sleep first—maybe I'll be fine after some rest.
好吧，如果下午还发烧，就一定要去看医生。	Hǎo ba, rúguǒ xiàwǔ hái fāshāo, jiù yídìng yào qù kàn yīshēng.	Okay, but if you still have a fever this afternoon, you must go see a doctor.
谢谢关心，我会注意的。	Xièxie guānxīn, wǒ huì zhùyì de.	Thanks for your concern—I'll be careful.
你怎么突然住院了？大家都很担心你。	Nǐ zěnme tūrán zhùyuàn le? Dàjiā dōu hěn dānxīn nǐ.	Why were you suddenly hospitalized? Everyone's worried about you.
我的腿疼了几个星期了，医生说需要住院做检查。	Wǒ de tuǐ téng le jǐ ge xīngqī le, yīshēng shuō xūyào zhùyuàn zuò jiǎnchá.	My leg has hurt for a few weeks; the doctor said I need to be hospitalized for tests.
你看起来一点儿也不像病人。	Nǐ kàn qǐlai yìdiǎnr yě bú xiàng bìngrén.	You don't look like a patient at all.
是啊，我很少生病。我上次来医院已经过去差不多两年了。	Shì a, wǒ hěn shǎo shēngbìng. Wǒ shàng cì lái yīyuàn yǐjīng guòqu chàbuduō liǎng nián le.	Yeah, I rarely get sick. It's been almost two years since my last visit to the hospital.
你每天跑步，有时候还去游泳，是不是运动太多了？	Nǐ měi tiān pǎobù, yǒushíhou hái qù yóuyǒng, shì bu shì yùndòng tài duō le?	You run every day and sometimes swim too—could it be too much exercise?
医生也这么说，但是还得做完检查才能知道。	Yīshēng yě zhème shuō, dànshì hái děi zuò wán jiǎnchá cái néng zhīdào.	The doctor said so too, but we won't know until the tests are done.
别担心！听医生的话，好好休息，你的腿一定能好。	Bié dānxīn! Tīng yīshēng de huà, hǎohǎo xiūxi, nǐ de tuǐ yídìng néng hǎo.	Don't worry! Listen to the doctor, rest well, and your leg will surely get better.
谢谢。有人的关心，我就开心多了。	Xièxie. Yǒu rén de guānxīn, wǒ jiù kāixīn duō le.	Thanks. With people caring about me, I feel much happier.
今天我出院了。出院前，医生给我开了几种药，而且告诉了我吃药的方法。有一种药要每天睡前吃一次，其他几种每天吃三次，饭后吃。除了吃药，医生还说最重要的是多休息。我都记在心里了。回家以后一定会多注意。希望我的腿能快一点儿好。	Jīntiān wǒ chūyuàn le. Chūyuàn qián, yīshēng gěi wǒ kāi le jǐ zhǒng yào, érqiě gàosu le wǒ chī yào de fāngfǎ. Yǒu yì zhǒng yào yào měi tiān shuì qián chī yí cì, qítā jǐ zhǒng měi tiān chī sān cì, fàn hòu chī. Chúle chī yào, yīshēng hái shuō zuì zhòngyào de shì duō xiūxi. Wǒ dōu jì zài xīn li le. Huí jiā yǐhòu yídìng huì duō zhùyì. Xīwàng wǒ de tuǐ néng kuài yìdiǎnr hǎo.	Today I was discharged. Before I left, the doctor prescribed several kinds of medicine and told me how to take them. One kind is taken once a day before bed; the others three times a day, after meals. Besides medicine, the doctor said the most important thing is to rest more. I've kept it all in mind. After going home, I'll be sure to take good care. I hope my leg gets better soon.
家月，对不起，我昨天忘了还你校园卡了。	Jiāyuè, duìbuqǐ, wǒ zuótiān wàng le huán nǐ xiàoyuánkǎ le.	Jiayue, sorry, I forgot to return your campus card yesterday.
没关系。你怎么这么快就过来了？	Méi guānxi. Nǐ zěnme zhème kuài jiù guòlai le?	It's fine. How did you get here so fast?
我正在球场打球呢，接了你的电话就跑过来了。	Wǒ zhèngzài qiúchǎng dǎ qiú ne, jiē le nǐ de diànhuà jiù pǎo guòlai le.	I was playing ball on the court—after your call I ran right over.
听说为了准备运动会，你们几个人每天都练球。	Tīngshuō wèile zhǔnbèi yùndònghuì, nǐmen jǐ ge rén měi tiān dōu liàn qiú.	I heard that to prepare for the sports meet, you few practice ball every day.
是啊！你打算参加运动会吗？	Shì a! Nǐ dǎsuàn cānjiā yùndònghuì ma?	Yeah! Are you going to take part in the sports meet?
我想参加网球比赛，最近一直在练习。	Wǒ xiǎng cānjiā wǎngqiú bǐsài, zuìjìn yìzhí zài liànxí.	I want to enter the tennis competition—I've been practicing lately.
好，到时候我去看你的比赛。	Hǎo, dào shíhou wǒ qù kàn nǐ de bǐsài.	Great—I'll come watch your match then.
家月，你跟我们一起打羽毛球吧？	Jiāyuè, nǐ gēn wǒmen yìqǐ dǎ yǔmáoqiú ba?	Jiayue, come play badminton with us?
我好多年没打羽毛球了，几乎忘了怎么打了。	Wǒ hǎo duō nián méi dǎ yǔmáoqiú le, jīhū wàng le zěnme dǎ le.	I haven't played badminton in years—I've almost forgotten how.
不是比赛，打不好没关系。	Bú shì bǐsài, dǎ bù hǎo méi guānxi.	It's not a match—it's okay if you don't play well.
这么多同学一起打，如果总是接不住球，就太不好意思了。	Zhème duō tóngxué yìqǐ dǎ, rúguǒ zǒngshì jiē bú zhù qiú, jiù tài bù hǎoyìsi le.	With so many classmates playing, if I keep missing the ball, it'd be too embarrassing.
你想得太多了！大家打球只是为了锻炼身体。	Nǐ xiǎng de tài duō le! Dàjiā dǎ qiú zhǐshì wèile duànliàn shēntǐ.	You're overthinking it! Everyone plays just to get some exercise.
我先自己练练吧，下周再跟你们一起打。	Wǒ xiān zìjǐ liànlian ba, xià zhōu zài gēn nǐmen yìqǐ dǎ.	Let me practice on my own first and play with you all next week.
我在教天中打羽毛球，你可以过来跟我们一起练。	Wǒ zài jiāo Tiānzhōng dǎ yǔmáoqiú, nǐ kěyǐ guòlai gēn wǒmen yìqǐ liàn.	I'm teaching Tianzhong badminton—you can come practice with us.
足球比赛已经开始了，快过来看吧！	Zúqiú bǐsài yǐjīng kāishǐ le, kuài guòlai kàn ba!	The soccer match has started—come watch, quick!
你们先看，冰箱里有啤酒和饮料，我去拿一下。	Nǐmen xiān kàn, bīngxiāng li yǒu píjiǔ hé yǐnliào, wǒ qù ná yíxià.	You go ahead and watch—there's beer and drinks in the fridge, I'll grab some.
今天怎么回事？总是踢不进去！	Jīntiān zěnme huí shì? Zǒngshì tī bú jìnqu!	What's going on today? They keep failing to score!
几个老球员生病了，新球员第一次参加这么重要的比赛，太紧张了。	Jǐ ge lǎo qiúyuán shēngbìng le, xīn qiúyuán dì-yī cì cānjiā zhème zhòngyào de bǐsài, tài jǐnzhāng le.	A few veteran players got sick, and the new players are too nervous playing in such an important match for the first time.
是啊，主要的球员没参加比赛，所以大家也都受到影响了。	Shì a, zhǔyào de qiúyuán méi cānjiā bǐsài, suǒyǐ dàjiā yě dōu shòudào yǐngxiǎng le.	Yeah, the key players didn't play, so everyone else was affected too.
越看越着急。我不看了，你们告诉我得分吧。	Yuè kàn yuè zháojí. Wǒ bú kàn le, nǐmen gàosu wǒ défēn ba.	The more I watch, the more anxious I get. I'll stop watching—just tell me the score.
我喜欢看体育比赛，最爱看的就是奥运会。奥运会是世界上影响最大的体育比赛。从1896年到2024年，每次奥运会都有非常多的运动员参加。第一位参加奥运会的中国运动员是刘长春，他1932年参加了100米和200米短跑比赛。虽然他没有得到好成绩，但是他让世界认识了中国。	Wǒ xǐhuan kàn tǐyù bǐsài, zuì ài kàn de jiù shì Àoyùnhuì. Àoyùnhuì shì shìjiè shàng yǐngxiǎng zuì dà de tǐyù bǐsài. Cóng yī bā jiǔ liù nián dào èr líng èr sì nián, měi cì Àoyùnhuì dōu yǒu fēicháng duō de yùndòngyuán cānjiā. Dì-yī wèi cānjiā Àoyùnhuì de Zhōngguó yùndòngyuán shì Liú Chángchūn, tā yī jiǔ sān èr nián cānjiā le yìbǎi mǐ hé èrbǎi mǐ duǎnpǎo bǐsài. Suīrán tā méiyǒu dédào hǎo chéngjì, dànshì tā ràng shìjiè rènshi le Zhōngguó.	I like watching sports, and my favorite is the Olympics. The Olympics is the most influential sporting event in the world. From 1896 to 2024, a great many athletes have competed in every Olympics. The first Chinese athlete to compete in the Olympics was Liu Changchun, who ran the 100m and 200m sprints in 1932. Although he didn't get a good result, he let the world know China.
你的数学越来越好，能不能介绍一下学习方法？	Nǐ de shùxué yuèláiyuè hǎo, néng bu néng jièshào yíxià xuéxí fāngfǎ?	Your math keeps getting better—can you share your study methods?
没有什么特别的方法，认真听课，认真记笔记。	Méiyǒu shénme tèbié de fāngfǎ, rènzhēn tīngkè, rènzhēn jì bǐjì.	No special method—just listen carefully in class and take careful notes.
我看过你的笔记，记得非常清楚。	Wǒ kànguo nǐ de bǐjì, jì de fēicháng qīngchu.	I've seen your notes—they're recorded very clearly.
老师写在黑板上的题都很重要，所以我会把这些题都记在本子上。	Lǎoshī xiě zài hēibǎn shàng de tí dōu hěn zhòngyào, suǒyǐ wǒ huì bǎ zhèxiē tí dōu jì zài běnzi shàng.	The problems the teacher writes on the board are all important, so I write them all down in my notebook.
你说得对。我没有记笔记的习惯。	Nǐ shuō de duì. Wǒ méiyǒu jì bǐjì de xíguàn.	You're right. I don't have the habit of taking notes.
笔记挺重要的，我每天写作业以前，都要看一遍。	Bǐjì tǐng zhòngyào de, wǒ měi tiān xiě zuòyè yǐqián, dōu yào kàn yí biàn.	Notes are quite important—I read through them once before doing homework every day.
这个方法真好！我以后也试试，希望能提高成绩。	Zhège fāngfǎ zhēn hǎo! Wǒ yǐhòu yě shìshi, xīwàng néng tígāo chéngjì.	That's a great method! I'll try it too, hoping to improve my grades.
小雪，昨天的考试，你考得怎么样？	Xiǎoxuě, zuótiān de kǎoshì, nǐ kǎo de zěnmeyàng?	Xiaoxue, how did you do on yesterday's exam?
我觉得历史有点儿难，你呢？	Wǒ juéde lìshǐ yǒudiǎnr nán, nǐ ne?	I found history a bit hard—how about you?
数学考试我没看清楚要求，做错了好几个题，考得挺差的。	Shùxué kǎoshì wǒ méi kàn qīngchu yāoqiú, zuòcuò le hǎojǐ ge tí, kǎo de tǐng chà de.	On the math exam I didn't read the instructions carefully, got several questions wrong, and did pretty badly.
明天还有考试呢，别想那么多了，先复习外语吧。	Míngtiān hái yǒu kǎoshì ne, bié xiǎng nàme duō le, xiān fùxí wàiyǔ ba.	There's another exam tomorrow—don't dwell on it; review your foreign language first.
外语作业里有几个问题，我可以问问你吗？	Wàiyǔ zuòyè li yǒu jǐ ge wèntí, wǒ kěyǐ wènwen nǐ ma?	There are a few problems in the foreign-language homework—may I ask you about them?
当然可以。在学习上，遇到什么问题都可以问我。	Dāngrán kěyǐ. Zài xuéxí shàng, yùdào shénme wèntí dōu kěyǐ wèn wǒ.	Of course. For anything about studies, you can always ask me.
不好意思，这几个题我也不会。咱们还是一起去办公室问问李老师吧。	Bù hǎoyìsi, zhè jǐ ge tí wǒ yě bú huì. Zánmen háishi yìqǐ qù bàngōngshì wènwen Lǐ lǎoshī ba.	Sorry, I can't do these either. Let's go to the office together and ask Teacher Li.
李老师，书上有几个问题，我们想问问您。	Lǐ lǎoshī, shū shàng yǒu jǐ ge wèntí, wǒmen xiǎng wènwen nín.	Teacher Li, there are a few problems in the book we'd like to ask you about.
好，坐下说吧，哪个题不会？	Hǎo, zuò xià shuō ba, nǎge tí bú huì?	Sure, have a seat and tell me—which problem is giving you trouble?
书上第五页的这个对话我看不懂，小雪也不明白。	Shū shàng dì-wǔ yè de zhège duìhuà wǒ kànbudǒng, Xiǎoxuě yě bù míngbai.	I can't understand this dialogue on page five of the book, and neither can Xiaoxue.
我课上讲过这几句话，再给你们讲一遍。	Wǒ kè shàng jiǎngguo zhè jǐ jù huà, zài gěi nǐmen jiǎng yí biàn.	I explained these sentences in class—I'll go over them once more for you.
（李老师给学生讲题。）	(Lǐ lǎoshī gěi xuésheng jiǎng tí.)	(Teacher Li explains the problems to the students.)
我终于懂了。这些句子一点儿也不难。	Wǒ zhōngyú dǒng le. Zhèxiē jùzi yìdiǎnr yě bù nán.	I finally get it. These sentences aren't hard at all.
我也明白了，谢谢您，李老师。	Wǒ yě míngbai le, xièxie nín, Lǐ lǎoshī.	I understand now too—thank you, Teacher Li.
我这本书上还有几个练习，你们回家也做一做，明天再把书还给我。	Wǒ zhè běn shū shàng hái yǒu jǐ ge liànxí, nǐmen huí jiā yě zuò yi zuò, míngtiān zài bǎ shū huán gěi wǒ.	There are a few more exercises in this book of mine—do them at home too, and return the book to me tomorrow.
你最近怎么样？忙不忙？	Nǐ zuìjìn zěnmeyàng? Máng bu máng?	How have you been lately? Busy?
我现在上初中二年级，学习越来越忙，后年就要考高中了。中国的学校一般是小学六年，初中三年，高中三年。妈妈说想考上好大学，就得上一个好高中；为了考上好高中，初中就得有一个不错的成绩，所以我现在非常努力。	Wǒ xiànzài shàng chūzhōng èr niánjí, xuéxí yuèláiyuè máng, hòunián jiù yào kǎo gāozhōng le. Zhōngguó de xuéxiào yìbān shì xiǎoxué liù nián, chūzhōng sān nián, gāozhōng sān nián. Māma shuō xiǎng kǎo shàng hǎo dàxué, jiù děi shàng yí ge hǎo gāozhōng; wèile kǎo shàng hǎo gāozhōng, chūzhōng jiù děi yǒu yí ge búcuò de chéngjì, suǒyǐ wǒ xiànzài fēicháng nǔlì.	I'm now in the second year of middle school, and studies are getting busier and busier—the year after next I'll take the high school entrance exam. Schools in China are generally six years of primary, three of middle, and three of high school. Mom says if you want to get into a good university, you need to attend a good high school; and to get into a good high school, you need good grades in middle school, so I'm working very hard now.
家月姐姐，你知道吗？在你的影响下，我也开始喜欢拍照了。下次你再来北京，我给你看看我照的照片。	Jiāyuè jiějie, nǐ zhīdào ma? Zài nǐ de yǐngxiǎng xià, wǒ yě kāishǐ xǐhuan pāizhào le. Xià cì nǐ zài lái Běijīng, wǒ gěi nǐ kànkan wǒ zhào de zhàopiàn.	Sister Jiayue, you know what? Under your influence, I've started to enjoy photography too. Next time you come to Beijing, I'll show you the photos I've taken.
会议下午几点开始？	Huìyì xiàwǔ jǐ diǎn kāishǐ?	What time does the meeting start this afternoon?
今天下午经理不在，不开会了。	Jīntiān xiàwǔ jīnglǐ bú zài, bù kāihuì le.	The manager's out this afternoon, so there's no meeting.
那什么时候开会？	Nà shénme shíhou kāihuì?	Then when's the meeting?
后天上午十点，会议地点换到第一会议室。我正要给大家发邮件。	Hòutiān shàngwǔ shí diǎn, huìyì dìdiǎn huàn dào dì-yī huìyìshì. Wǒ zhèng yào gěi dàjiā fā yóujiàn.	10 a.m. the day after tomorrow, and the venue's changed to Meeting Room 1. I was just about to email everyone.
开会的时候，我们用会议室的电脑还是自己的笔记本电脑？	Kāihuì de shíhou, wǒmen yòng huìyìshì de diànnǎo háishi zìjǐ de bǐjìběn diànnǎo?	During the meeting, do we use the meeting room's computer or our own laptops?
会议室的电脑或者自己的电脑都可以。	Huìyìshì de diànnǎo huòzhě zìjǐ de diànnǎo dōu kěyǐ.	Either the meeting room's computer or your own is fine.
那到时候咱们早点儿过去，你帮我把电脑接好吧。	Nà dào shíhou zánmen zǎo diǎnr guòqu, nǐ bāng wǒ bǎ diànnǎo jiē hǎo ba.	Then let's get there a bit early, and you help me set up the computer.
电脑接好了吗？	Diànnǎo jiē hǎo le ma?	Is the computer set up?
已经接好了，您开机看看有没有问题。	Yǐjīng jiē hǎo le, nín kāijī kànkan yǒu méiyǒu wèntí.	It's set up—turn it on and see if there's any problem.
现在什么都看不见。	Xiànzài shénme dōu kànbujiàn.	I can't see anything now.
我检查一下哪里出问题了……您再试一下。	Wǒ jiǎnchá yíxià nǎli chū wèntí le…… nín zài shì yíxià.	Let me check where the problem is… try again now.
看见了，但是听不见声音。	Kànjiàn le, dànshì tīngbujiàn shēngyīn.	I can see it now, but there's no sound.
现在呢？	Xiànzài ne?	How about now?
听得见声音，但是声音有点儿小，听不清楚。	Tīngdejiàn shēngyīn, dànshì shēngyīn yǒudiǎnr xiǎo, tīngbuqīngchu.	I can hear sound now, but it's a bit quiet—I can't hear it clearly.
看来我没办法解决这个问题，只能找别人来帮帮忙了。	Kànlái wǒ méi bànfǎ jiějué zhège wèntí, zhǐ néng zhǎo biéren lái bāngbang máng le.	It seems I can't solve this problem—I'll have to get someone else to help.
同乐，你看见老张了吗？	Tónglè, nǐ kànjiàn Lǎo Zhāng le ma?	Tongle, have you seen Lao Zhang?
老张没来。他说家里有点儿事，所以请假了。	Lǎo Zhāng méi lái. Tā shuō jiā li yǒudiǎnr shì, suǒyǐ qǐngjià le.	Lao Zhang didn't come. He said he had some family matters, so he took the day off.
好几个同事都休假了，开会前这么多工作我怕干不完。	Hǎojǐ ge tóngshì dōu xiūjià le, kāihuì qián zhème duō gōngzuò wǒ pà gàn bù wán.	Several colleagues are on leave, and I'm afraid I can't finish so much work before the meeting.
十二点多了，咱们先去吃饭吧。吃完饭，我跟您一起把这些工作做完。	Shí'èr diǎn duō le, zánmen xiān qù chī fàn ba. Chī wán fàn, wǒ gēn nín yìqǐ bǎ zhèxiē gōngzuò zuò wán.	It's past twelve—let's go eat first. After the meal, I'll help you finish this work.
你先去吃，我想再干一会儿。明天开会前要发到公司的邮箱里。	Nǐ xiān qù chī, wǒ xiǎng zài gàn yíhuìr. Míngtiān kāihuì qián yào fā dào gōngsī de yóuxiāng li.	You go eat first—I want to work a bit longer. It needs to be sent to the company mailbox before tomorrow's meeting.
您没看到邮件吗？经理还没回来呢，下周才能开会。	Nín méi kàndào yóujiàn ma? Jīnglǐ hái méi huílai ne, xià zhōu cái néng kāihuì.	Didn't you see the email? The manager isn't back yet—the meeting won't be until next week.
那不着急了。走，吃饭去。	Nà bù zháojí le. Zǒu, chī fàn qù.	Then there's no rush. Come on, let's go eat.
前几天，上海的同事来北京了。一起吃饭时，他们跟我说最近有不少同事去上海工作了，问我愿意不愿意也去上海。我是这样想的：现在丈夫和孩子都在北京，刘明的工作很忙，小雪和小明也还小，我去别的城市工作就要离开他们。虽然去上海可能会有更好的机会，但是对我来说，生活也很重要，我不愿意为了工作放弃丈夫和孩子。	Qián jǐ tiān, Shànghǎi de tóngshì lái Běijīng le. Yìqǐ chī fàn shí, tāmen gēn wǒ shuō zuìjìn yǒu bù shǎo tóngshì qù Shànghǎi gōngzuò le, wèn wǒ yuànyì bú yuànyì yě qù Shànghǎi. Wǒ shì zhèyàng xiǎng de: xiànzài zhàngfu hé háizi dōu zài Běijīng, Liú Míng de gōngzuò hěn máng, Xiǎoxuě hé Xiǎomíng yě hái xiǎo, wǒ qù biéde chéngshì gōngzuò jiù yào líkāi tāmen. Suīrán qù Shànghǎi kěnéng huì yǒu gèng hǎo de jīhuì, dànshì duì wǒ lái shuō, shēnghuó yě hěn zhòngyào, wǒ bú yuànyì wèile gōngzuò fàngqì zhàngfu hé háizi.	A few days ago, a colleague from Shanghai came to Beijing. Over a meal, they told me quite a few colleagues had gone to work in Shanghai recently and asked whether I'd be willing to go too. Here's how I see it: my husband and children are all in Beijing now, Liu Ming's job is busy, and Xiaoxue and Xiaoming are still young—working in another city would mean leaving them. Although going to Shanghai might bring better opportunities, for me, life matters too, and I'm not willing to give up my husband and children for work.
王老师，您看，这条街上的树都开花了。	Wáng lǎoshī, nín kàn, zhè tiáo jiē shàng de shù dōu kāihuā le.	Teacher Wang, look—the trees on this street are all in bloom.
上周我去公园坐船了，公园里的花也开了。	Shàng zhōu wǒ qù gōngyuán zuò chuán le, gōngyuán li de huā yě kāi le.	Last week I went boating in the park; the flowers there are blooming too.
天气这么好，下午我也想去公园坐船。	Tiānqì zhème hǎo, xiàwǔ wǒ yě xiǎng qù gōngyuán zuò chuán.	The weather's so nice—this afternoon I'd like to go boating in the park too.
去吧！今天是工作日，人应该不多。	Qù ba! Jīntiān shì gōngzuòrì, rén yīnggāi bù duō.	Go for it! It's a weekday, so it shouldn't be crowded.
您有时间吗？我想跟您一起去。	Nín yǒu shíjiān ma? Wǒ xiǎng gēn nín yìqǐ qù.	Do you have time? I'd like to go with you.
我今天下午有课，不能去太远的地方。	Wǒ jīntiān xiàwǔ yǒu kè, bù néng qù tài yuǎn de dìfang.	I have class this afternoon, so I can't go anywhere too far.
那咱们换一天去？	Nà zánmen huàn yì tiān qù?	Then shall we go another day?
行。或者明天去，或者后天去，我给你打电话。	Xíng. Huòzhě míngtiān qù, huòzhě hòutiān qù, wǒ gěi nǐ dǎ diànhuà.	Sure. Either tomorrow or the day after—I'll call you.
刚才还是大晴天呢，怎么突然就刮起风来了？	Gāngcái háishi dà qíngtiān ne, zěnme tūrán jiù guā qǐ fēng lái le?	It was sunny just now—how did the wind suddenly pick up?
好像新闻里说今天有雨。	Hǎoxiàng xīnwén li shuō jīntiān yǒu yǔ.	I think the news said it would rain today.
啊？我每天书包里都放着雨伞，就今天没带。	À? Wǒ měi tiān shūbāo li dōu fàngzhe yǔsǎn, jiù jīntiān méi dài.	Huh? I keep an umbrella in my bag every day—and today's the one day I didn't bring it.
我可以借给你，我车里有一把伞和一件雨衣。	Wǒ kěyǐ jiè gěi nǐ, wǒ chē li yǒu yì bǎ sǎn hé yí jiàn yǔyī.	I can lend you one—I have an umbrella and a raincoat in my car.
谢谢，希望下午天气能变好。	Xièxie, xīwàng xiàwǔ tiānqì néng biàn hǎo.	Thanks—I hope the weather improves this afternoon.
这个季节天气变化很快。	Zhège jìjié tiānqì biànhuà hěn kuài.	The weather changes fast this season.
